name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,G,GS,IPouts,IPouts_start,IPouts_relief,RA,xRA,xRA_sprp_adj,xRA_extras_adj,xRA_def_pitcher,PPF,PPF_custom,xRA_final,BIP,BIP_perc,RS_def_total,runs_above_avg,runs_above_avg_adj,runs_above_rep,RpO_replacement,GR_leverage_index_avg,WAR,salary,teamRpG,oppRpG,pyth_exponent,waa_win_perc,WAA,WAA_adj,oppRpG_rep,pyth_exponent_rep,waa_win_perc_rep,WAR_rep,ERA_plus,ER_lg
Denyi Reyes,26,660593,reyesde02,2023,NYM,1,NL,9,3,59,33,26,17,11.618,-0.035,0,-0.223,96,92.333,10.901,64,0.0159,-14,-6.099,-6.057,-4.169,0.208,0.8467,-0.4,NULL,4.70669,5.37969,1.932,0.4358,-0.5778,-0.0129,4.92322,1.907,0.4786,0.1893,54.52352941,9.269
Dinelson Lamet,29,659275,lametdi01,2022,SDP,1,NL,13,0,37,0,37,14,6.234,-0.417,0.613,0.178,93,90.323,5.647,36,0.0089,20,-8.353,-8.324,-7.223,0.194,0.6292,-0.59,4775000,4.39519,5.0355,1.896,0.4359,-0.8333,0.1205,4.48231,1.863,0.4909,0.1194,41.04615385,5.336
Yonny Chirinos,30,630023,chiriyo01,2024,MIA,1,NL,6,6,90,90,0,21,14.215,0.652,0,-0.502,109,112.014,17.215,103,0.0239,-21,-3.785,-3.889,-0.983,0.198,1,-0.13,NULL,4.47804,5.12621,1.905,0.436,-0.384,-0.0243,4.95099,1.895,0.4526,0.2815,72.4047619,15.205
Austin Davis,31,656354,davisau01,2024,SDP,1,NL,7,0,21,0,21,8,3.669,-0.244,0,-0.07,99,99.818,3.489,20,0.005,-14,-4.511,-4.535,-3.857,0.198,0.3114,-0.24,NULL,4.47804,5.1259,1.905,0.436,-0.448,0.1353,4.57263,1.874,0.4902,0.0679,47.94285714,3.356
Tayler Scott,30,605463,scottta02,2022,SDP,1,NL,8,0,36,0,36,10,5.633,-0.377,0,0.198,93,96.068,4.859,40,0.0099,20,-5.141,-5.113,-4.041,0.194,0.6763,-0.35,NULL,4.39519,5.03432,1.896,0.436,-0.512,0.0498,4.53294,1.866,0.4856,0.1162,57.73333333,5.196
Erick Fedde,29,607200,feddeer01,2022,WSN,1,NL,27,27,381,381,0,84,61.051,2.784,0,-4.049,97,97.902,66.46,421,0.0964,-42,-17.54,-17.243,-5.899,0.194,1,-0.63,2150000,4.39519,5.03382,1.895,0.4361,-1.7253,-0.1063,4.82713,1.884,0.456,1.199,67.87073171,55.654
Carson Kelly,28,608348,kellyca02,2023,DET,2,AL,1,0,2,0,2,1,0.381,-0.025,0,0.026,103,106,0.35,5,0.0012,22,-0.65,-0.658,-0.586,0.203,0,-0.03,NULL,4.6077,5.2657,1.921,0.4362,-0.0638,0.0303,4.67112,1.887,0.4936,0.0064,49,0.49
JosÃ© Castillo,26,620454,castijo03,2022,SDP,1,NL,1,0,3,0,3,1,0.466,-0.031,0,0.014,93,86,0.362,3,0.0007,20,-0.638,-0.636,-0.546,0.194,0.06,-0.03,NULL,4.39519,5.03119,1.895,0.4363,-0.0637,0.0271,4.48702,1.863,0.4904,0.0097,58.9,0.589
Jack Neely,24,680891,neelyja01,2024,CHC,1,NL,6,0,18,0,18,6,2.606,-0.174,0,0.212,96,96.929,2.152,19,0.0046,46,-3.848,-3.869,-3.288,0.198,0.1033,-0.17,NULL,4.47804,5.12288,1.905,0.4363,-0.3822,0.1552,4.57263,1.874,0.4902,0.0582,46.96666667,2.818
Mitch White,29,669952,whitemi03,2024,MIL,3,NL,6,0,25,0,25,8,4.17,-0.278,0.631,0.435,101,101.949,4.168,28,0.0068,64,-3.832,-3.861,-3.054,0.198,0.6117,-0.25,NULL,4.47804,5.12154,1.905,0.4364,-0.3816,0.0516,4.60942,1.876,0.4864,0.0808,67.33333333,4.04
Cole Sands,24,663485,sandsco01,2022,MIN,1,AL,11,3,92,47,45,21,14.994,-0.134,0,0.735,100,99.49,14.053,99,0.0237,31,-6.947,-6.789,-4.228,0.188,0.32,-0.33,NULL,4.25074,4.86792,1.878,0.4367,-0.6963,0.0676,4.50148,1.856,0.4734,0.2938,67.01,13.402
Dylan Floro,33,571670,florody01,2024,ARI,2,NL,15,0,49,0,49,17,8.244,-0.549,0,0.343,101,101.52,7.464,62,0.0143,24,-9.536,-9.592,-8.011,0.198,0.8927,-0.78,NULL,4.47804,5.11751,1.905,0.4368,-0.948,0.0068,4.58104,1.874,0.4893,0.1589,45.61764706,7.755
Quinn Priester,23,682990,priesqu01,2024,PIT,1,NL,10,6,134,113,21,29,21.888,0.619,0,-0.443,101,99.274,22.783,155,0.0369,-12,-6.217,-6.371,-2.046,0.198,0.895,-0.25,740000,4.47804,5.11514,1.905,0.437,-0.63,-0.0442,4.90055,1.893,0.4574,0.4217,83.652,20.913
Zach McAllister,35,502083,mcallza01,2023,NYY,1,AL,7,0,16,0,16,7,2.716,-0.181,0,0.109,101,104.069,2.525,21,0.0052,21,-4.475,-4.541,-3.963,0.203,1.0143,-0.4,NULL,4.6077,5.25642,1.92,0.4371,-0.4403,-0.0157,4.68018,1.887,0.4926,0.052,45.53333333,2.732
Yusei Kikuchi,31,579328,kikucyu01,2022,TOR,1,AL,32,20,302,247,55,67,48.753,1.249,0,2.844,99,99.608,46.973,263,0.0632,45,-20.027,-19.507,-11.103,0.188,0.5633,-1.07,16000000,4.25074,4.86033,1.877,0.4374,-2.0032,-0.0261,4.53367,1.858,0.4701,0.9608,74.43275862,43.171
Elvis Peguero,25,665625,pegueel01,2022,LAA,1,AL,13,0,52,0,52,16,8.511,-0.565,0,0.237,103,104.208,8.033,60,0.0148,16,-7.967,-7.877,-6.43,0.188,0.5823,-0.51,NULL,4.25074,4.85666,1.877,0.4378,-0.8086,0.1267,4.37066,1.848,0.4871,0.1684,60.56153846,7.873
Francisco Morales,22,672839,moralfr02,2022,PHI,1,NL,3,0,15,0,15,5,2.625,-0.176,0.624,-0.138,98,97.619,3.135,11,0.0027,-51,-1.865,-1.853,-1.407,0.194,0.6133,-0.12,NULL,4.39519,5.01286,1.894,0.4381,-0.1857,0.0221,4.54824,1.867,0.484,0.0484,59.425,2.377
Sean Hjelle,26,663546,hjellse01,2023,SFG,1,NL,15,0,87,12,75,25,15.778,-0.795,0.63,-0.26,96,95.986,15.236,91,0.0217,-12,-9.764,-9.703,-6.917,0.208,0.7587,-0.62,NULL,4.70669,5.35356,1.931,0.4382,-0.927,0.0223,4.89827,1.906,0.481,0.2801,64.7047619,13.588
Cole Irvin,30,608344,irvinco01,2024,BAL,1,AL,25,16,322,252,70,66,52.839,1.107,0,-1.139,93,92.881,51.163,364,0.0876,-13,-14.837,-15.36,-5.023,0.193,0.5378,-0.55,2000000,4.38443,4.99883,1.893,0.4383,-1.5425,-0.0259,4.77096,1.88,0.4604,1.0158,77.16724138,44.757
Pedro Avila,25,658648,avilape01,2022,SDP,1,NL,2,0,12,0,12,3,2.254,-0.151,0,0.054,93,86,1.762,11,0.0027,20,-1.238,-1.229,-0.871,0.194,0.025,-0.04,NULL,4.39519,5.00969,1.894,0.4384,-0.1232,0.0491,4.57885,1.869,0.4809,0.0385,92.25,1.845
Tyler Beede,31,595881,beedety01,2024,CLE,1,AL,13,0,42,0,42,14,6.741,-0.452,0.62,0.749,101,99.176,6.109,38,0.0096,78,-7.891,-7.959,-6.611,0.193,1.0662,-0.72,1200000,4.38443,4.99666,1.893,0.4385,-0.7995,-0.0555,4.48139,1.863,0.4898,0.136,49.89230769,6.486
Carlos HernÃ¡ndez,25,672578,hernaca04,2022,KCR,1,AL,27,7,168,89,79,48,27.655,-0.188,0.62,-1.808,105,105.812,31.632,199,0.0452,-40,-16.368,-16.079,-11.404,0.188,1.1545,-1.26,NULL,4.25074,4.84626,1.876,0.4388,-1.6524,-0.1462,4.43728,1.852,0.4801,0.5395,55.52391304,25.541
Tyler Gilbert,28,656457,gilbety01,2022,ARI,1,NL,8,7,103,89,14,21,17.293,0.524,0,1.303,99,97.205,16.052,114,0.0266,49,-4.948,-4.868,-1.801,0.194,0.34,-0.18,NULL,4.39519,5.00369,1.894,0.4389,-0.4888,-0.0158,4.78929,1.881,0.4597,0.3254,77.395,15.479
Brett Kennedy,28,664028,kennebr02,2023,CIN,1,NL,5,2,54,30,24,13,9.26,-0.031,0,-0.393,104,101.663,9.782,64,0.0151,-26,-3.218,-3.18,-1.451,0.208,0.1333,-0.1,NULL,4.70669,5.34269,1.93,0.4391,-0.3045,0.0288,5.06342,1.915,0.4651,0.1715,72.79230769,9.463
Tucker Barnhart,31,571466,barnhtu01,2022,DET,1,AL,1,0,3,0,3,1,0.466,-0.031,0,0.032,100,100,0.403,5,0.0012,27,-0.597,-0.592,-0.508,0.188,0,-0.02,7500000,4.25074,4.84274,1.876,0.4392,-0.0608,0.028,4.34068,1.846,0.4903,0.0097,60.1,0.601
Brock Burke,27,656271,burkebr01,2024,TEX,1,AL,13,0,41,0,41,14,7.486,-0.502,0,0.392,98,94.611,6.237,45,0.0109,36,-7.763,-7.83,-6.513,0.193,0.4685,-0.47,1035000,4.38443,4.98674,1.892,0.4394,-0.7878,0.1811,4.47908,1.862,0.4901,0.132,43.95,6.153
Brad Keller,28,641745,kellebr01,2024,BOS,2,AL,11,0,74,0,74,18,12.538,-0.841,0,0.848,106,106.103,11.511,86,0.0202,42,-6.489,-6.609,-4.234,0.193,0.5164,-0.32,NULL,4.38443,4.98525,1.892,0.4396,-0.6644,0.1097,4.58632,1.869,0.479,0.2369,74.05625,11.849
Shintaro Fujinami,29,660261,fujinsh01,2023,OAK,1,AL,34,7,148,45,103,48,26.344,-0.856,0.615,-2.704,95,95.481,27.505,145,0.0338,-80,-20.495,-21.101,-15.754,0.203,1.3711,-1.93,3250000,4.6077,5.22832,1.918,0.4397,-2.0502,-0.3548,4.74573,1.891,0.486,0.4783,49.28297872,23.163
Roansy Contreras,23,672710,contrro01,2023,PIT,1,NL,19,11,205,163,42,50,37.275,0.878,0,0.357,101,100.417,37.954,214,0.051,7,-12.046,-11.902,-5.339,0.208,0.565,-0.52,725000,4.70669,5.33311,1.93,0.44,-1.14,-0.0269,5.06307,1.915,0.4651,0.6516,68.232,34.116
